EbayID,Labels
37973,Ebay>Antiques>Maritime>MaritimeWheels
37970,Ebay>Antiques>Maritime>ModelShips
66638,Ebay>Antiques>Maritime>OtherMaritimeAntiques
163092,Ebay>Antiques>Mercantile_Trades_Factories>BarberChairs
163093,Ebay>Antiques>Mercantile_Trades_Factories>Binding_Embossing_Printing
163094,Ebay>Antiques>Mercantile_Trades_Factories>CashRegister_AddingMachines
163095,Ebay>Antiques>Mercantile_Trades_Factories>DisplayCases
163096,Ebay>Antiques>Mercantile_Trades_Factories>IndustrialMolds
163097,Ebay>Antiques>Mercantile_Trades_Factories>Safes_StillBanks
163098,Ebay>Antiques>Mercantile_Trades_Factories>Scales
163099,Ebay>Antiques>Mercantile_Trades_Factories>Typewriters
163100,Ebay>Antiques>Mercantile_Trades_Factories>OtherMercantileAntiques
156320,Ebay>Antiques>MusicalInstruments_Pre_1930_>Brass
37975,Ebay>Antiques>MusicalInstruments_Pre_1930_>Keyboard
37976,Ebay>Antiques>MusicalInstruments_Pre_1930_>Percussion
181727,Ebay>Antiques>MusicalInstruments_Pre_1930_>String
37977,Ebay>Antiques>MusicalInstruments_Pre_1930_>Wind
156321,Ebay>Antiques>MusicalInstruments_Pre_1930_>Reproductions
171176,Ebay>Antiques>MusicalInstruments_Pre_1930_>PriceGuides_Publications
156322,Ebay>Antiques>MusicalInstruments_Pre_1930_>OtherAntiqueInstruments
100928,Ebay>Antiques>Periods_Styles>AestheticMovement
69471,Ebay>Antiques>Periods_Styles>ArtDeco
69472,Ebay>Antiques>Periods_Styles>ArtNouveau
96768,Ebay>Antiques>Periods_Styles>Arts_CraftsMovement
69473,Ebay>Antiques>Periods_Styles>Mid_CenturyModernism
151738,Ebay>Antiques>Periods_Styles>Victorian
171179,Ebay>Antiques>Periods_Styles>PriceGuides_Publications
163128,Ebay>Antiques>Periods_Styles>OtherAntiquePeriods_Styles
1217,Ebay>Antiques>Primitives
163102,Ebay>Antiques>Restoration_Care>Cleaners_Polish
163104,Ebay>Antiques>Restoration_Care>Storage_Display
163105,Ebay>Antiques>Restoration_Care>OtherAntiqueRestoration
37978,Ebay>Antiques>Rugs_Carpets
163023,Ebay>Antiques>Science_Medicine_Pre_1930_>Apothecary_Pharmaceutical>Bottles_Jars
